Year,Season,Player,Pos,Age,Team,G,GS,MPPG
2012,regular,Quincy Acy,PF,22,Toronto Raptors,29,0,11.8
2012,regular,Jeff Adrien,PF,26,Charlotte Bobcats,52,5,13.7
2012,regular,Arron Afflalo,SF,27,Orlando Magic,64,64,36.0
2012,regular,Josh Akognon,PG,26,Dallas Mavericks,3,0,3.0
2012,regular,Cole Aldrich,C,24,TOT,45,0,8.6
2012,regular,Cole Aldrich,C,24,Houston Rockets,30,0,7.1
2012,regular,Cole Aldrich,C,24,Sacramento Kings,15,0,11.7
2012,regular,LaMarcus Aldridge,PF,27,Portland Trailblazers,74,74,37.7
2012,regular,Lavoy Allen,C,23,Philadelphia 76ers,79,37,21.1
2012,regular,Ray Allen,SG,37,Miami Heat,79,0,25.8
2012,regular,Tony Allen,SG,31,Memphis Grizzlies,79,79,26.7
2012,regular,Al-Farouq Aminu,SF,22,New Orleans Hornets,76,71,27.2
2012,regular,Lou Amundson,PF,30,TOT,39,0,9.5
2012,regular,Lou Amundson,PF,30,Minnesota Timberwolves,20,0,8.1
2012,regular,Lou Amundson,PF,30,Chicago Bulls,1,0,2.0
2012,regular,Lou Amundson,PF,30,New Orleans Hornets,18,0,11.6
2012,regular,Chris Andersen,C,34,Miami Heat,42,0,14.9
2012,regular,Alan Anderson,SF,30,Toronto Raptors,65,2,23.0
2012,regular,James Anderson,SG-SF,23,TOT,39,2,10.3
2012,regular,James Anderson,SF,23,San Antonio Spurs,10,0,9.4
2012,regular,James Anderson,SG,23,Houston Rockets,29,2,10.6
2012,regular,Ryan Anderson,PF,24,New Orleans Hornets,81,22,30.9
2012,regular,Carmelo Anthony,PF,28,New York Knicks,67,67,37.0
2012,regular,Joel Anthony,C,30,Miami Heat,62,3,9.1
2012,regular,Trevor Ariza,SF,27,Washington Wizards,56,15,26.3
2012,regular,Darrell Arthur,PF,24,Memphis Grizzlies,59,3,16.4
2012,regular,Omer Asık,C,26,Houston Rockets,82,82,30.0
2012,regular,D.J. Augustin,PG,25,Indiana Pacers,76,5,16.1
2012,regular,Gustavo Ayon,C,27,TOT,55,3,13.3
2012,regular,Gustavo Ayon,C,27,Orlando Magic,43,3,13.3
2012,regular,Gustavo Ayon,C,27,Milwaukee Bucks,12,0,13.6
2012,regular,Jeff Ayres,PF,25,Indiana Pacers,37,0,10.0
2012,regular,Luke Babbitt,PF,23,Portland Trailblazers,62,0,11.8
2012,regular,Leandro Barbosa,PG,30,Boston Celtics,41,2,12.5
2012,regular,J.J. Barea,PG,28,Minnesota Timberwolves,74,2,23.1
2012,regular,Andrea Bargnani,PF,27,Toronto Raptors,35,25,28.7
2012,regular,Harrison Barnes,SF,20,Golden State Warriors,81,81,25.4
2012,regular,Matt Barnes,SF,32,Los Angeles Clippers,80,4,25.7
2012,regular,Earl Barron,C,31,TOT,12,2,13.3
2012,regular,Earl Barron,C,31,Washington Wizards,11,1,11.1
2012,regular,Earl Barron,C,31,New York Knicks,1,1,37.0
2012,regular,Will Barton,SG,22,Portland Trailblazers,73,5,12.2
2012,regular,Brandon Bass,PF,27,Boston Celtics,81,69,27.6
2012,regular,Shane Battier,SF,34,Miami Heat,72,20,24.8
2012,regular,Nicolas Batum,SF,24,Portland Trailblazers,73,73,38.5
2012,regular,Jerryd Bayless,PG,24,Memphis Grizzlies,80,4,22.1
2012,regular,Aron Baynes,C,26,San Antonio Spurs,16,0,8.8
2012,regular,Kent Bazemore,SG,23,Golden State Warriors,61,0,4.4
2012,regular,Bradley Beal,SG,19,Washington Wizards,56,46,31.2
2012,regular,Michael Beasley,SF,24,Phoenix Suns,75,20,20.7
2012,regular,Rodrigue Beaubois,PG,24,Dallas Mavericks,45,0,12.2
2012,regular,Marco Belinelli,SG,26,Chicago Bulls,73,27,25.8
2012,regular,Patrick Beverley,PG,24,Houston Rockets,41,0,17.4
2012,regular,Andris Biedrins,C,26,Golden State Warriors,53,9,9.3
2012,regular,Chauncey Billups,SG,36,Los Angeles Clippers,22,22,19.0
2012,regular,Bismack Biyombo,C,20,Charlotte Bobcats,80,65,27.3
2012,regular,DeJuan Blair,PF,23,San Antonio Spurs,61,16,14.0
2012,regular,Steve Blake,PG,32,Los Angeles Lakers,45,13,26.1
2012,regular,Andray Blatche,C,26,Brooklyn Nets,82,8,19.0
2012,regular,Eric Bledsoe,PG,23,Los Angeles Clippers,76,12,20.4
