Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
Atlanta Hawks,2012,1,2012-11-02,,Houston Rockets,
Atlanta Hawks,2012,2,2012-11-04,@,Oklahoma City Thunder,
Atlanta Hawks,2012,3,2012-11-07,,Indiana Pacers,
Atlanta Hawks,2012,4,2012-11-09,,Miami Heat,
Atlanta Hawks,2012,5,2012-11-11,@,Los Angeles Clippers,
Atlanta Hawks,2012,6,2012-11-12,@,Portland Trail Blazers,
Atlanta Hawks,2012,7,2012-11-14,@,Golden State Warriors,
Atlanta Hawks,2012,8,2012-11-16,@,Sacramento Kings,
Atlanta Hawks,2012,9,2012-11-19,,Orlando Magic,
Atlanta Hawks,2012,10,2012-11-21,,Washington Wizards,OT
Atlanta Hawks,2012,11,2012-11-23,@,Charlotte Bobcats,
Atlanta Hawks,2012,12,2012-11-24,,Los Angeles Clippers,
Atlanta Hawks,2012,13,2012-11-28,,Charlotte Bobcats,
Atlanta Hawks,2012,14,2012-11-30,,Cleveland Cavaliers,
Atlanta Hawks,2012,15,2012-12-05,,Denver Nuggets,
Atlanta Hawks,2012,16,2012-12-07,,Washington Wizards,
Atlanta Hawks,2012,17,2012-12-08,@,Memphis Grizzlies,
Atlanta Hawks,2012,18,2012-12-10,@,Miami Heat,
Atlanta Hawks,2012,19,2012-12-12,@,Orlando Magic,
Atlanta Hawks,2012,20,2012-12-13,,Charlotte Bobcats,
Atlanta Hawks,2012,21,2012-12-15,,Golden State Warriors,
Atlanta Hawks,2012,22,2012-12-18,@,Washington Wizards,OT
Atlanta Hawks,2012,23,2012-12-19,,Oklahoma City Thunder,
Atlanta Hawks,2012,24,2012-12-21,@,Philadelphia 76ers,
Atlanta Hawks,2012,25,2012-12-22,,Chicago Bulls,
Atlanta Hawks,2012,26,2012-12-26,,Detroit Pistons,2OT
Atlanta Hawks,2012,27,2012-12-28,@,Cleveland Cavaliers,
Atlanta Hawks,2012,28,2012-12-29,,Indiana Pacers,
Atlanta Hawks,2012,29,2012-12-31,@,Houston Rockets,
Atlanta Hawks,2012,30,2013-01-01,@,New Orleans Hornets,
Atlanta Hawks,2012,31,2013-01-04,@,Detroit Pistons,
Atlanta Hawks,2012,32,2013-01-05,,Boston Celtics,
Atlanta Hawks,2012,33,2013-01-08,@,Minnesota Timberwolves,
Atlanta Hawks,2012,34,2013-01-09,@,Cleveland Cavaliers,
Atlanta Hawks,2012,35,2013-01-11,,Utah Jazz,
Atlanta Hawks,2012,36,2013-01-12,@,Washington Wizards,
Atlanta Hawks,2012,37,2013-01-14,@,Chicago Bulls,
Atlanta Hawks,2012,38,2013-01-16,,Brooklyn Nets,
Atlanta Hawks,2012,39,2013-01-18,@,Brooklyn Nets,
Atlanta Hawks,2012,40,2013-01-19,,San Antonio Spurs,
Atlanta Hawks,2012,41,2013-01-21,,Minnesota Timberwolves,
Atlanta Hawks,2012,42,2013-01-23,@,Charlotte Bobcats,
Atlanta Hawks,2012,43,2013-01-25,,Boston Celtics,2OT
Atlanta Hawks,2012,44,2013-01-27,@,New York Knicks,
Atlanta Hawks,2012,45,2013-01-30,,Toronto Raptors,
Atlanta Hawks,2012,46,2013-02-02,,Chicago Bulls,
Atlanta Hawks,2012,47,2013-02-05,@,Indiana Pacers,
Atlanta Hawks,2012,48,2013-02-06,,Memphis Grizzlies,
Atlanta Hawks,2012,49,2013-02-08,,New Orleans Hornets,
Atlanta Hawks,2012,50,2013-02-11,@,Dallas Mavericks,
Atlanta Hawks,2012,51,2013-02-13,@,Orlando Magic,
Atlanta Hawks,2012,52,2013-02-20,,Miami Heat,
Atlanta Hawks,2012,53,2013-02-22,,Sacramento Kings,
Atlanta Hawks,2012,54,2013-02-23,@,Milwaukee Bucks,
Atlanta Hawks,2012,55,2013-02-25,@,Detroit Pistons,
Atlanta Hawks,2012,56,2013-02-27,@,Utah Jazz,
Atlanta Hawks,2012,57,2013-03-01,@,Phoenix Suns,
Atlanta Hawks,2012,58,2013-03-03,@,Los Angeles Lakers,
Atlanta Hawks,2012,59,2013-03-04,@,Denver Nuggets,
Atlanta Hawks,2012,60,2013-03-06,,Philadelphia 76ers,
Atlanta Hawks,2012,61,2013-03-08,@,Boston Celtics,OT
Atlanta Hawks,2012,62,2013-03-09,,Brooklyn Nets,
Atlanta Hawks,2012,63,2013-03-12,@,Miami Heat,
Atlanta Hawks,2012,64,2013-03-13,,Los Angeles Lakers,
Atlanta Hawks,2012,65,2013-03-15,,Phoenix Suns,
Atlanta Hawks,2012,66,2013-03-17,@,Brooklyn Nets,
Atlanta Hawks,2012,67,2013-03-18,,Dallas Mavericks,
Atlanta Hawks,2012,68,2013-03-20,,Milwaukee Bucks,
Atlanta Hawks,2012,69,2013-03-22,,Portland Trail Blazers,
Atlanta Hawks,2012,70,2013-03-24,@,Milwaukee Bucks,
Atlanta Hawks,2012,71,2013-03-25,@,Indiana Pacers,
Atlanta Hawks,2012,72,2013-03-27,@,Toronto Raptors,
Atlanta Hawks,2012,73,2013-03-29,@,Boston Celtics,
Atlanta Hawks,2012,74,2013-03-30,,Orlando Magic,
Atlanta Hawks,2012,75,2013-04-01,,Cleveland Cavaliers,
Atlanta Hawks,2012,76,2013-04-03,,New York Knicks,
Atlanta Hawks,2012,77,2013-04-05,,Philadelphia 76ers,
Atlanta Hawks,2012,78,2013-04-06,@,San Antonio Spurs,
Atlanta Hawks,2012,79,2013-04-10,@,Philadelphia 76ers,
Atlanta Hawks,2012,80,2013-04-12,,Milwaukee Bucks,
Atlanta Hawks,2012,81,2013-04-16,,Toronto Raptors,
Atlanta Hawks,2012,82,2013-04-17,@,New York Knicks,
Atlanta Hawks,2012,83,2013-04-21,@,Indiana Pacers,
Atlanta Hawks,2012,84,2013-04-24,@,Indiana Pacers,
