Year,Season,Player,Pos,Age,Team,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2012,regular,Quincy Acy,PF,22,Toronto Raptors,29,0,11.8,0.0,342.20000000000005,0.0
2012,regular,Jeff Adrien,PF,26,Charlotte Bobcats,52,5,13.7,0.0,712.4,0.0
2012,regular,Arron Afflalo,SF,27,Orlando Magic,64,64,36.0,0.0,2304.0,0.0
2012,regular,Josh Akognon,PG,26,Dallas Mavericks,3,0,3.0,0.0,9.0,0.0
2012,regular,Cole Aldrich,C,24,TOT,45,0,8.6,0.0,387.0,0.0
2012,regular,LaMarcus Aldridge,PF,27,Portland Trailblazers,74,74,37.7,0.0,2789.8,0.0
2012,regular,Lavoy Allen,C,23,Philadelphia 76ers,79,37,21.1,0.0,1666.9,0.0
2012,regular,Ray Allen,SG,37,Miami Heat,79,0,25.8,0.0,2038.2,0.0
2012,regular,Tony Allen,SG,31,Memphis Grizzlies,79,79,26.7,0.0,2109.2999999999997,0.0
2012,regular,Al-Farouq Aminu,SF,22,New Orleans Hornets,76,71,27.2,0.0,2067.2,0.0
2012,regular,Lou Amundson,PF,30,TOT,39,0,9.5,0.0,370.5,0.0
2012,regular,Chris Andersen,C,34,Miami Heat,42,0,14.9,0.0,625.8000000000001,0.0
2012,regular,Alan Anderson,SF,30,Toronto Raptors,65,2,23.0,0.0,1495.0,0.0
2012,regular,James Anderson,SG-SF,23,TOT,39,2,10.3,0.0,401.70000000000005,0.0
2012,regular,Ryan Anderson,PF,24,New Orleans Hornets,81,22,30.9,0.0,2502.9,0.0
2012,regular,Carmelo Anthony,PF,28,New York Knicks,67,67,37.0,0.0,2479.0,0.0
2012,regular,Joel Anthony,C,30,Miami Heat,62,3,9.1,0.0,564.1999999999999,0.0
2012,regular,Trevor Ariza,SF,27,Washington Wizards,56,15,26.3,0.0,1472.8,0.0
2012,regular,Darrell Arthur,PF,24,Memphis Grizzlies,59,3,16.4,0.0,967.5999999999999,0.0
