Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
Atlanta Hawks,2012,regular,1,2012-11-02,,Houston Rockets,
Atlanta Hawks,2012,regular,2,2012-11-04,1.0,Oklahoma City Thunder,
Atlanta Hawks,2012,regular,3,2012-11-07,,Indiana Pacers,
Atlanta Hawks,2012,regular,4,2012-11-09,,Miami Heat,
Atlanta Hawks,2012,regular,5,2012-11-11,1.0,Los Angeles Clippers,
Atlanta Hawks,2012,regular,6,2012-11-12,1.0,Portland Trail Blazers,
Atlanta Hawks,2012,regular,7,2012-11-14,1.0,Golden State Warriors,
Atlanta Hawks,2012,regular,8,2012-11-16,1.0,Sacramento Kings,
Atlanta Hawks,2012,regular,9,2012-11-19,,Orlando Magic,
Atlanta Hawks,2012,regular,10,2012-11-21,,Washington Wizards,OT
Atlanta Hawks,2012,regular,11,2012-11-23,1.0,Charlotte Bobcats,
Atlanta Hawks,2012,regular,12,2012-11-24,,Los Angeles Clippers,
Atlanta Hawks,2012,regular,13,2012-11-28,,Charlotte Bobcats,
Atlanta Hawks,2012,regular,14,2012-11-30,,Cleveland Cavaliers,
Atlanta Hawks,2012,regular,15,2012-12-05,,Denver Nuggets,
Atlanta Hawks,2012,regular,16,2012-12-07,,Washington Wizards,
Atlanta Hawks,2012,regular,17,2012-12-08,1.0,Memphis Grizzlies,
Atlanta Hawks,2012,regular,18,2012-12-10,1.0,Miami Heat,
Atlanta Hawks,2012,regular,19,2012-12-12,1.0,Orlando Magic,
Atlanta Hawks,2012,regular,20,2012-12-13,,Charlotte Bobcats,
Atlanta Hawks,2012,regular,21,2012-12-15,,Golden State Warriors,
Atlanta Hawks,2012,regular,22,2012-12-18,1.0,Washington Wizards,OT
Atlanta Hawks,2012,regular,23,2012-12-19,,Oklahoma City Thunder,
Atlanta Hawks,2012,regular,24,2012-12-21,1.0,Philadelphia 76ers,
Atlanta Hawks,2012,regular,25,2012-12-22,,Chicago Bulls,
Atlanta Hawks,2012,regular,26,2012-12-26,,Detroit Pistons,2OT
Atlanta Hawks,2012,regular,27,2012-12-28,1.0,Cleveland Cavaliers,
Atlanta Hawks,2012,regular,28,2012-12-29,,Indiana Pacers,
Atlanta Hawks,2012,regular,29,2012-12-31,1.0,Houston Rockets,
Atlanta Hawks,2012,regular,30,2013-01-01,1.0,New Orleans Hornets,
Atlanta Hawks,2012,regular,31,2013-01-04,1.0,Detroit Pistons,
Atlanta Hawks,2012,regular,32,2013-01-05,,Boston Celtics,
Atlanta Hawks,2012,regular,33,2013-01-08,1.0,Minnesota Timberwolves,
Atlanta Hawks,2012,regular,34,2013-01-09,1.0,Cleveland Cavaliers,
Atlanta Hawks,2012,regular,35,2013-01-11,,Utah Jazz,
Atlanta Hawks,2012,regular,36,2013-01-12,1.0,Washington Wizards,
Atlanta Hawks,2012,regular,37,2013-01-14,1.0,Chicago Bulls,
Atlanta Hawks,2012,regular,38,2013-01-16,,Brooklyn Nets,
Atlanta Hawks,2012,regular,39,2013-01-18,1.0,Brooklyn Nets,
Atlanta Hawks,2012,regular,40,2013-01-19,,San Antonio Spurs,
Atlanta Hawks,2012,regular,41,2013-01-21,,Minnesota Timberwolves,
Atlanta Hawks,2012,regular,42,2013-01-23,1.0,Charlotte Bobcats,
Atlanta Hawks,2012,regular,43,2013-01-25,,Boston Celtics,2OT
Atlanta Hawks,2012,regular,44,2013-01-27,1.0,New York Knicks,
Atlanta Hawks,2012,regular,45,2013-01-30,,Toronto Raptors,
Atlanta Hawks,2012,regular,46,2013-02-02,,Chicago Bulls,
Atlanta Hawks,2012,regular,47,2013-02-05,1.0,Indiana Pacers,
Atlanta Hawks,2012,regular,48,2013-02-06,,Memphis Grizzlies,
Atlanta Hawks,2012,regular,49,2013-02-08,,New Orleans Hornets,
Atlanta Hawks,2012,regular,50,2013-02-11,1.0,Dallas Mavericks,
Atlanta Hawks,2012,regular,51,2013-02-13,1.0,Orlando Magic,
Atlanta Hawks,2012,regular,52,2013-02-20,,Miami Heat,
Atlanta Hawks,2012,regular,53,2013-02-22,,Sacramento Kings,
Atlanta Hawks,2012,regular,54,2013-02-23,1.0,Milwaukee Bucks,
Atlanta Hawks,2012,regular,55,2013-02-25,1.0,Detroit Pistons,
Atlanta Hawks,2012,regular,56,2013-02-27,1.0,Utah Jazz,
Atlanta Hawks,2012,regular,57,2013-03-01,1.0,Phoenix Suns,
Atlanta Hawks,2012,regular,58,2013-03-03,1.0,Los Angeles Lakers,
Atlanta Hawks,2012,regular,59,2013-03-04,1.0,Denver Nuggets,
Atlanta Hawks,2012,regular,60,2013-03-06,,Philadelphia 76ers,
Atlanta Hawks,2012,regular,61,2013-03-08,1.0,Boston Celtics,OT
Atlanta Hawks,2012,regular,62,2013-03-09,,Brooklyn Nets,
Atlanta Hawks,2012,regular,63,2013-03-12,1.0,Miami Heat,
