,Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
0,Atlanta Hawks,2012,1,"Fri, Nov 2, 2012",,Houston Rockets,
1,Atlanta Hawks,2012,2,"Sun, Nov 4, 2012",@,Oklahoma City Thunder,
2,Atlanta Hawks,2012,3,"Wed, Nov 7, 2012",,Indiana Pacers,
3,Atlanta Hawks,2012,4,"Fri, Nov 9, 2012",,Miami Heat,
4,Atlanta Hawks,2012,5,"Sun, Nov 11, 2012",@,Los Angeles Clippers,
5,Atlanta Hawks,2012,6,"Mon, Nov 12, 2012",@,Portland Trail Blazers,
6,Atlanta Hawks,2012,7,"Wed, Nov 14, 2012",@,Golden State Warriors,
7,Atlanta Hawks,2012,8,"Fri, Nov 16, 2012",@,Sacramento Kings,
8,Atlanta Hawks,2012,9,"Mon, Nov 19, 2012",,Orlando Magic,
9,Atlanta Hawks,2012,10,"Wed, Nov 21, 2012",,Washington Wizards,OT
10,Atlanta Hawks,2012,11,"Fri, Nov 23, 2012",@,Charlotte Bobcats,
11,Atlanta Hawks,2012,12,"Sat, Nov 24, 2012",,Los Angeles Clippers,
12,Atlanta Hawks,2012,13,"Wed, Nov 28, 2012",,Charlotte Bobcats,
13,Atlanta Hawks,2012,14,"Fri, Nov 30, 2012",,Cleveland Cavaliers,
14,Atlanta Hawks,2012,15,"Wed, Dec 5, 2012",,Denver Nuggets,
15,Atlanta Hawks,2012,16,"Fri, Dec 7, 2012",,Washington Wizards,
16,Atlanta Hawks,2012,17,"Sat, Dec 8, 2012",@,Memphis Grizzlies,
17,Atlanta Hawks,2012,18,"Mon, Dec 10, 2012",@,Miami Heat,
18,Atlanta Hawks,2012,19,"Wed, Dec 12, 2012",@,Orlando Magic,
19,Atlanta Hawks,2012,20,"Thu, Dec 13, 2012",,Charlotte Bobcats,
20,Atlanta Hawks,2012,21,"Sat, Dec 15, 2012",,Golden State Warriors,
21,Atlanta Hawks,2012,22,"Tue, Dec 18, 2012",@,Washington Wizards,OT
22,Atlanta Hawks,2012,23,"Wed, Dec 19, 2012",,Oklahoma City Thunder,
23,Atlanta Hawks,2012,24,"Fri, Dec 21, 2012",@,Philadelphia 76ers,
24,Atlanta Hawks,2012,25,"Sat, Dec 22, 2012",,Chicago Bulls,
25,Atlanta Hawks,2012,26,"Wed, Dec 26, 2012",,Detroit Pistons,2OT
26,Atlanta Hawks,2012,27,"Fri, Dec 28, 2012",@,Cleveland Cavaliers,
27,Atlanta Hawks,2012,28,"Sat, Dec 29, 2012",,Indiana Pacers,
28,Atlanta Hawks,2012,29,"Mon, Dec 31, 2012",@,Houston Rockets,
29,Atlanta Hawks,2012,30,"Tue, Jan 1, 2013",@,New Orleans Hornets,
30,Atlanta Hawks,2012,31,"Fri, Jan 4, 2013",@,Detroit Pistons,
31,Atlanta Hawks,2012,32,"Sat, Jan 5, 2013",,Boston Celtics,
32,Atlanta Hawks,2012,33,"Tue, Jan 8, 2013",@,Minnesota Timberwolves,
33,Atlanta Hawks,2012,34,"Wed, Jan 9, 2013",@,Cleveland Cavaliers,
34,Atlanta Hawks,2012,35,"Fri, Jan 11, 2013",,Utah Jazz,
35,Atlanta Hawks,2012,36,"Sat, Jan 12, 2013",@,Washington Wizards,
36,Atlanta Hawks,2012,37,"Mon, Jan 14, 2013",@,Chicago Bulls,
37,Atlanta Hawks,2012,38,"Wed, Jan 16, 2013",,Brooklyn Nets,
38,Atlanta Hawks,2012,39,"Fri, Jan 18, 2013",@,Brooklyn Nets,
39,Atlanta Hawks,2012,40,"Sat, Jan 19, 2013",,San Antonio Spurs,
40,Atlanta Hawks,2012,41,"Mon, Jan 21, 2013",,Minnesota Timberwolves,
41,Atlanta Hawks,2012,42,"Wed, Jan 23, 2013",@,Charlotte Bobcats,
42,Atlanta Hawks,2012,43,"Fri, Jan 25, 2013",,Boston Celtics,2OT
43,Atlanta Hawks,2012,44,"Sun, Jan 27, 2013",@,New York Knicks,
44,Atlanta Hawks,2012,45,"Wed, Jan 30, 2013",,Toronto Raptors,
45,Atlanta Hawks,2012,46,"Sat, Feb 2, 2013",,Chicago Bulls,
46,Atlanta Hawks,2012,47,"Tue, Feb 5, 2013",@,Indiana Pacers,
47,Atlanta Hawks,2012,48,"Wed, Feb 6, 2013",,Memphis Grizzlies,
48,Atlanta Hawks,2012,49,"Fri, Feb 8, 2013",,New Orleans Hornets,
49,Atlanta Hawks,2012,50,"Mon, Feb 11, 2013",@,Dallas Mavericks,
50,Atlanta Hawks,2012,51,"Wed, Feb 13, 2013",@,Orlando Magic,
51,Atlanta Hawks,2012,52,"Wed, Feb 20, 2013",,Miami Heat,
52,Atlanta Hawks,2012,53,"Fri, Feb 22, 2013",,Sacramento Kings,
53,Atlanta Hawks,2012,54,"Sat, Feb 23, 2013",@,Milwaukee Bucks,
54,Atlanta Hawks,2012,55,"Mon, Feb 25, 2013",@,Detroit Pistons,
55,Atlanta Hawks,2012,56,"Wed, Feb 27, 2013",@,Utah Jazz,
56,Atlanta Hawks,2012,57,"Fri, Mar 1, 2013",@,Phoenix Suns,
57,Atlanta Hawks,2012,58,"Sun, Mar 3, 2013",@,Los Angeles Lakers,
58,Atlanta Hawks,2012,59,"Mon, Mar 4, 2013",@,Denver Nuggets,
59,Atlanta Hawks,2012,60,"Wed, Mar 6, 2013",,Philadelphia 76ers,
60,Atlanta Hawks,2012,61,"Fri, Mar 8, 2013",@,Boston Celtics,OT
61,Atlanta Hawks,2012,62,"Sat, Mar 9, 2013",,Brooklyn Nets,
62,Atlanta Hawks,2012,63,"Tue, Mar 12, 2013",@,Miami Heat,
63,Atlanta Hawks,2012,64,"Wed, Mar 13, 2013",,Los Angeles Lakers,
64,Atlanta Hawks,2012,65,"Fri, Mar 15, 2013",,Phoenix Suns,
65,Atlanta Hawks,2012,66,"Sun, Mar 17, 2013",@,Brooklyn Nets,
66,Atlanta Hawks,2012,67,"Mon, Mar 18, 2013",,Dallas Mavericks,
67,Atlanta Hawks,2012,68,"Wed, Mar 20, 2013",,Milwaukee Bucks,
68,Atlanta Hawks,2012,69,"Fri, Mar 22, 2013",,Portland Trail Blazers,
69,Atlanta Hawks,2012,70,"Sun, Mar 24, 2013",@,Milwaukee Bucks,
70,Atlanta Hawks,2012,71,"Mon, Mar 25, 2013",@,Indiana Pacers,
71,Atlanta Hawks,2012,72,"Wed, Mar 27, 2013",@,Toronto Raptors,
72,Atlanta Hawks,2012,73,"Fri, Mar 29, 2013",@,Boston Celtics,
73,Atlanta Hawks,2012,74,"Sat, Mar 30, 2013",,Orlando Magic,
74,Atlanta Hawks,2012,75,"Mon, Apr 1, 2013",,Cleveland Cavaliers,
75,Atlanta Hawks,2012,76,"Wed, Apr 3, 2013",,New York Knicks,
76,Atlanta Hawks,2012,77,"Fri, Apr 5, 2013",,Philadelphia 76ers,
77,Atlanta Hawks,2012,78,"Sat, Apr 6, 2013",@,San Antonio Spurs,
78,Atlanta Hawks,2012,79,"Wed, Apr 10, 2013",@,Philadelphia 76ers,
79,Atlanta Hawks,2012,80,"Fri, Apr 12, 2013",,Milwaukee Bucks,
80,Atlanta Hawks,2012,81,"Tue, Apr 16, 2013",,Toronto Raptors,
81,Atlanta Hawks,2012,82,"Wed, Apr 17, 2013",@,New York Knicks,
82,Atlanta Hawks,2012,83,"Sun, Apr 21, 2013",@,Indiana Pacers,
83,Atlanta Hawks,2012,84,"Wed, Apr 24, 2013",@,Indiana Pacers,
84,Atlanta Hawks,2012,85,"Sat, Apr 27, 2013",,Indiana Pacers,
85,Atlanta Hawks,2012,86,"Mon, Apr 29, 2013",,Indiana Pacers,
86,Atlanta Hawks,2012,87,"Wed, May 1, 2013",@,Indiana Pacers,
87,Atlanta Hawks,2012,88,"Fri, May 3, 2013",,Indiana Pacers,
88,Atlanta Hawks,2013,1,"Wed, Oct 30, 2013",@,Dallas Mavericks,
89,Atlanta Hawks,2013,2,"Fri, Nov 1, 2013",,Toronto Raptors,
90,Atlanta Hawks,2013,3,"Sun, Nov 3, 2013",@,Los Angeles Lakers,
91,Atlanta Hawks,2013,4,"Tue, Nov 5, 2013",@,Sacramento Kings,
92,Atlanta Hawks,2013,5,"Thu, Nov 7, 2013",@,Denver Nuggets,
93,Atlanta Hawks,2013,6,"Sat, Nov 9, 2013",,Orlando Magic,
94,Atlanta Hawks,2013,7,"Mon, Nov 11, 2013",@,Charlotte Bobcats,
95,Atlanta Hawks,2013,8,"Wed, Nov 13, 2013",,New York Knicks,
96,Atlanta Hawks,2013,9,"Fri, Nov 15, 2013",,Philadelphia 76ers,
97,Atlanta Hawks,2013,10,"Sat, Nov 16, 2013",@,New York Knicks,
98,Atlanta Hawks,2013,11,"Tue, Nov 19, 2013",@,Miami Heat,
99,Atlanta Hawks,2013,12,"Wed, Nov 20, 2013",,Detroit Pistons,
100,Atlanta Hawks,2013,13,"Fri, Nov 22, 2013",@,Detroit Pistons,
101,Atlanta Hawks,2013,14,"Sat, Nov 23, 2013",,Boston Celtics,
102,Atlanta Hawks,2013,15,"Tue, Nov 26, 2013",,Orlando Magic,
103,Atlanta Hawks,2013,16,"Wed, Nov 27, 2013",@,Houston Rockets,
104,Atlanta Hawks,2013,17,"Fri, Nov 29, 2013",,Dallas Mavericks,
105,Atlanta Hawks,2013,18,"Sat, Nov 30, 2013",@,Washington Wizards,
106,Atlanta Hawks,2013,19,"Mon, Dec 2, 2013",@,San Antonio Spurs,
107,Atlanta Hawks,2013,20,"Wed, Dec 4, 2013",,Los Angeles Clippers,
108,Atlanta Hawks,2013,21,"Fri, Dec 6, 2013",,Cleveland Cavaliers,
109,Atlanta Hawks,2013,22,"Tue, Dec 10, 2013",,Oklahoma City Thunder,
110,Atlanta Hawks,2013,23,"Fri, Dec 13, 2013",,Washington Wizards,OT
111,Atlanta Hawks,2013,24,"Sat, Dec 14, 2013",@,New York Knicks,
112,Atlanta Hawks,2013,25,"Mon, Dec 16, 2013",,Los Angeles Lakers,
113,Atlanta Hawks,2013,26,"Wed, Dec 18, 2013",,Sacramento Kings,
114,Atlanta Hawks,2013,27,"Fri, Dec 20, 2013",,Utah Jazz,
115,Atlanta Hawks,2013,28,"Mon, Dec 23, 2013",@,Miami Heat,OT
116,Atlanta Hawks,2013,29,"Thu, Dec 26, 2013",@,Cleveland Cavaliers,2OT
117,Atlanta Hawks,2013,30,"Sat, Dec 28, 2013",,Charlotte Bobcats,OT
118,Atlanta Hawks,2013,31,"Sun, Dec 29, 2013",@,Orlando Magic,
119,Atlanta Hawks,2013,32,"Tue, Dec 31, 2013",@,Boston Celtics,
120,Atlanta Hawks,2013,33,"Fri, Jan 3, 2014",,Golden State Warriors,
121,Atlanta Hawks,2013,34,"Sat, Jan 4, 2014",@,Chicago Bulls,
122,Atlanta Hawks,2013,35,"Mon, Jan 6, 2014",@,Brooklyn Nets,
123,Atlanta Hawks,2013,36,"Wed, Jan 8, 2014",,Indiana Pacers,
124,Atlanta Hawks,2013,37,"Fri, Jan 10, 2014",,Houston Rockets,
125,Atlanta Hawks,2013,38,"Sun, Jan 12, 2014",@,Memphis Grizzlies,
126,Atlanta Hawks,2013,39,"Thu, Jan 16, 2014",,Brooklyn Nets,
127,Atlanta Hawks,2013,40,"Mon, Jan 20, 2014",,Miami Heat,
128,Atlanta Hawks,2013,41,"Wed, Jan 22, 2014",@,Orlando Magic,
129,Atlanta Hawks,2013,42,"Fri, Jan 24, 2014",,San Antonio Spurs,
130,Atlanta Hawks,2013,43,"Sat, Jan 25, 2014",@,Milwaukee Bucks,
131,Atlanta Hawks,2013,44,"Mon, Jan 27, 2014",@,Oklahoma City Thunder,
132,Atlanta Hawks,2013,45,"Fri, Jan 31, 2014",@,Philadelphia 76ers,
133,Atlanta Hawks,2013,46,"Sat, Feb 1, 2014",,Minnesota Timberwolves,
134,Atlanta Hawks,2013,47,"Tue, Feb 4, 2014",,Indiana Pacers,
