Date,Team,Acquired,Relinquished,Notes
2013-10-29,Milwaukee Bucks,,Carlos Delfino,recovering from surgery on right foot (out indefinitely)
2013-10-29,Cleveland Cavaliers,,Carrick Felix,sports hernia (out indefinitely)
2013-10-29,Boston Celtics,,Rajon Rondo,recovering from surgery on left knee to repair torn ACL (out indefinitely)
2013-10-29,Atlanta Hawks,,Louis Williams,recovering from surgery on right knee (out indefinitely)
2013-10-29,Orlando Magic,,Doron Lamb,sprained right ankle (DNP)
2013-10-29,Orlando Magic,,Tobias Harris,sprained left ankle (DNP)
2013-10-29,Denver Nuggets,,Danilo Gallinari,recovering from surgery on left knee to repair torn ACL (out indefinitely)
2013-10-29,Minnesota Timberwolves,,Chase Budinger,recovering from surgery on left knee (out indefinitely)
2013-10-29,Golden State Warriors,,Festus Ezeli,recovering from surgery on right knee (out for season)
2013-10-29,Golden State Warriors,,Harrison Barnes,left foot injury (DNP)
2013-10-30,Golden State Warriors,,Harrison Barnes,left foot injury (DNP)
2013-10-30,Houston Rockets,,Terrence Jones,strained right shoulder (DNP)
2013-10-30,Houston Rockets,,Greg Smith,hip injury (DNP)
2013-10-30,Orlando Magic,,Tobias Harris,sprained left ankle (DNP)
2013-10-30,Orlando Magic,,Doron Lamb,sprained right ankle (DNP)
2013-10-30,Los Angeles Lakers,,Steve Nash,rest (DNP)
2013-10-30,Utah Jazz,,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP)
2013-10-30,Utah Jazz,,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP)
2013-10-30,Atlanta Hawks,,Gustavo Ayon,strained right rotator cuff (DNP)
2013-10-30,Milwaukee Bucks,,Luke Ridnour,sore back (DNP)
2013-10-30,Charlotte Bobcats,,Ben Gordon,right knee injury (DNP)
2013-10-30,Philadelphia 76ers,,Kwame Brown,strained right hamstring (DNP)
2013-10-30,New York Knicks,,Amare Stoudemire,knee injury (DNP)
2013-10-31,Golden State Warriors,,Harrison Barnes,left foot injury (DNP)
2013-11-01,Orlando Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
2013-11-01,Golden State Warriors,,Jermaine ONeal,right foot injury (DNP)
2013-11-01,Minnesota Timberwolves,,Ronny Turiaf,fractured right elbow (out indefinitely)
2013-11-01,Houston Rockets,,Omri Casspi,sprained left ankle (DNP)
2013-11-01,Indiana Pacers,,George Hill,sore left hip (DNP)
2013-11-01,Orlando Magic,,Tobias Harris,sprained left ankle (DNP)
