Date,Team,Acquired,Relinquished,Notes
2013-10-29,Philadelphia 76ers,,Jason Richardson,placed on IL recovering from surgery on left knee (out for season)
2013-10-29,Phoenix Suns,,Emeka Okafor,placed on IL recovering from surgery on neck to repair herniated disc (out for season)
2013-10-29,Indiana Pacers,,Danny Granger,placed on IL with strained left calf
2013-10-29,Orlando Magic,,Hidayet Turkoglu,placed on IL
2013-10-29,Orlando Magic,,Glen Davis,placed on IL recovering from surgery to repair fractured left foot
2013-10-29,Los Angeles Lakers,,Kobe Bryant,placed on IL recovering from surgery to repair torn left Achilles tendon
2013-10-29,Washington Wizards,,Otto Porter,placed on IL with strained right hip flexor
2013-10-29,Miami Heat,,Roger Mason,placed on IL
2013-10-29,Miami Heat,,Greg Oden,placed on IL with surgery on knee
2013-10-29,Los Angeles Clippers,,Maalik Wayns,placed on IL recovering from surgery on left knee to repair torn meniscus
2013-10-29,Philadelphia 76ers,,Nerlens Noel,placed on IL recovering from surgery on left knee (out for season)
2013-10-29,Los Angeles Lakers,,Elias Harris,placed on IL
2013-10-30,Utah Jazz,,Andris Biedrins,placed on IL with sprained left (CBC) / right ankle
2013-10-30,Utah Jazz,,Jeremy Evans,placed on IL with strained right rotator cuff
2013-10-30,Utah Jazz,,Trey Burke,placed on IL recovering from surgery to repair fractured right index finger
2013-10-30,Sacramento Kings,,Carl Landry,placed on IL recovering from surgery on left hip to repair torn hip flexor muscle
2013-10-30,Sacramento Kings,,Ray McCallum,placed on IL
2013-10-30,New York Knicks,,Toure Murry,placed on IL
2013-10-30,Los Angeles Lakers,,Ryan Kelly,placed on IL
2013-10-30,Dallas Mavericks,,Brandan Wright,placed on IL with fractured left shoulder (surgery)
2013-10-30,Dallas Mavericks,,Devin Harris,placed on IL recovering from surgery on left foot/toe
2013-10-30,Miami Heat,Roger Mason,,activated from IL
2013-10-30,New York Knicks,,Chris Smith,placed on IL
2013-10-30,Miami Heat,,Dwyane Wade,placed on IL with sore knees
2013-10-30,Dallas Mavericks,,Shane Larkin,placed on IL recovering from surgery to repair fractured right ankle
2013-10-30,Atlanta Hawks,,Gustavo Ayon,placed on IL with strained rotator cuff in right shoulder
2013-10-30,Philadelphia 76ers,,Arnett Moultrie,placed on IL recovering from surgery on left ankle
2013-10-30,Portland Trailblazers,,CJ McCollum,placed on IL recovering from surgery on left foot to repair fracture
