Date,Team,Player,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category,Acquired,Reg_games_missed,Post_games_missed,Out_for_season,Pos,Age,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2013-10-29,Milwaukee Bucks,Carlos Delfino,recovering from surgery on right foot (out indefinitely),0.0,0.0,off,2013.0,1,,foot,foot,,,,,Unknown,,,,,,,
2013-10-29,Cleveland Cavaliers,Carrick Felix,sports hernia (out indefinitely),0.0,0.0,off,2013.0,1,,other,other,,,,,Unknown,,,,,,,
2013-10-29,Boston Celtics,Rajon Rondo,recovering from surgery on left knee to repair torn ACL (out indefinitely),0.0,0.0,off,2013.0,1,,ACL,knee,,,,,Unknown,,,,,,,
2013-10-29,Atlanta Hawks,Louis Williams,recovering from surgery on right knee (out indefinitely),0.0,0.0,off,2013.0,1,,knee,knee,,,,,Unknown,,,,,,,
2013-10-29,Orlando Magic,Doron Lamb,sprained right ankle (DNP),0.0,0.0,off,2013.0,1,,ankle,lower leg,,,,,Unknown,,,,,,,
2013-10-29,Orlando Magic,Tobias Harris,sprained left ankle (DNP),0.0,0.0,off,2013.0,1,,ankle,lower leg,,,,,Unknown,,,,,,,
2013-10-29,Denver Nuggets,Danilo Gallinari,recovering from surgery on left knee to repair torn ACL (out indefinitely),0.0,0.0,off,2013.0,1,,ACL,knee,,,,,Unknown,,,,,,,
2013-10-29,Minnesota Timberwolves,Chase Budinger,recovering from surgery on left knee (out indefinitely),0.0,0.0,off,2013.0,1,,knee,knee,,,,,Unknown,,,,,,,
2013-10-29,Golden State Warriors,Festus Ezeli,recovering from surgery on right knee (out for season),0.0,0.0,off,2013.0,1,,knee,knee,,,,,Unknown,,,,,,,
2013-10-29,Golden State Warriors,Harrison Barnes,left foot injury (DNP),0.0,0.0,off,2013.0,1,,foot,foot,,,,,Unknown,,,,,,,
2013-10-30,Golden State Warriors,Harrison Barnes,left foot injury (DNP),0.0,0.0,off,2013.0,1,,foot,foot,,,,,Unknown,,,,,,,
2013-10-30,Houston Rockets,Terrence Jones,strained right shoulder (DNP),0.0,0.0,off,2013.0,1,,shoulder,torso,,,,,Unknown,,,,,,,
2013-10-30,Houston Rockets,Greg Smith,hip injury (DNP),0.0,0.0,off,2013.0,1,,hip,upper leg,,,,,Unknown,,,,,,,
2013-10-30,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013.0,2,,ankle,lower leg,,,,,PF,21.0,61.0,36.0,30.3,55.0,1848.3,1298.0000000000002
2013-10-30,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013.0,2,,ankle,lower leg,,,,,SG,22.0,53.0,0.0,13.1,47.0,694.3,578.1000000000001
2013-10-30,Los Angeles Lakers,Steve Nash,rest (DNP),1.0,0.0,regular,2013.0,2,,rest,rest,,,,,PG,39.0,15.0,10.0,20.9,52.0,313.5,1686.0
2013-10-30,Utah Jazz,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),0.0,0.0,off,2013.0,1,,heel,foot,,,,,Unknown,,,,,,,
2013-10-30,Utah Jazz,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP),0.0,0.0,off,2013.0,1,,ACL,knee,,,,,Unknown,,,,,,,
2013-10-30,Atlanta Hawks,Gustavo Ayon,strained right rotator cuff (DNP),0.0,0.0,off,2013.0,1,,shoulder,torso,,,,,Unknown,,,,,,,
2013-10-30,Milwaukee Bucks,Luke Ridnour,sore back (DNP),0.0,0.0,off,2013.0,1,,back,torso,,,,,Unknown,,,,,,,
2013-10-30,Charlotte Bobcats,Ben Gordon,right knee injury (DNP),0.0,0.0,off,2013.0,1,,knee,knee,,,,,Unknown,,,,,,,
2013-10-30,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),0.0,0.0,off,2013.0,1,,hamstring,upper leg,,,,,Unknown,,,,,,,
2013-10-30,New York Knicks,Amare Stoudemire,knee injury (DNP),0.0,0.0,off,2013.0,1,,knee,knee,,,,,Unknown,,,,,,,
2013-10-31,Golden State Warriors,Harrison Barnes,left foot injury (DNP),1.0,0.0,regular,2013.0,2,,foot,foot,,,,,SF,21.0,78.0,24.0,28.3,93.0,2207.4,2518.2000000000003
2013-11-01,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013.0,3,,knee,knee,,,,,PF,29.0,11.0,0.0,7.7,2.0,84.7,26.0
2013-11-01,Golden State Warriors,Jermaine ONeal,right foot injury (DNP),1.0,0.0,regular,2013.0,3,,foot,foot,,,,,Unknown,,,,,,,
2013-11-01,Minnesota Timberwolves,Ronny Turiaf,fractured right elbow (out indefinitely),1.0,0.0,regular,2013.0,2,,elbow,arm,,,,,C,31.0,31.0,10.0,19.5,70.0,604.5,761.0
2013-11-01,Houston Rockets,Omri Casspi,sprained left ankle (DNP),1.0,0.0,regular,2013.0,2,,ankle,lower leg,,,,,PF,25.0,71.0,2.0,18.1,43.0,1285.1,503.0999999999999
2013-11-01,Indiana Pacers,George Hill,sore left hip (DNP),1.0,0.0,regular,2013.0,3,,hip,upper leg,,,,,PG,27.0,76.0,76.0,32.0,94.0,2432.0,3307.8
2013-11-01,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013.0,3,,ankle,lower leg,,,,,PF,21.0,61.0,36.0,30.3,55.0,1848.3,1298.0000000000002
2013-11-01,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013.0,3,,ankle,lower leg,,,,,SG,22.0,53.0,0.0,13.1,47.0,694.3,578.1000000000001
2013-11-01,Washington Wizards,Nene Nene,strained left calf (DNP),1.0,0.0,regular,2013.0,2,,calf,lower leg,,,,,Unknown,,,,,,,
2013-11-01,Utah Jazz,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP),1.0,0.0,regular,2013.0,2,,ACL,knee,,,,,SG,28.0,38.0,0.0,11.0,2.0,418.0,25.0
2013-11-01,Atlanta Hawks,Gustavo Ayon,strained right rotator cuff (DNP),1.0,0.0,regular,2013.0,2,,shoulder,torso,,,,,C,28.0,26.0,14.0,16.5,58.0,429.0,738.4000000000001
2013-11-01,Milwaukee Bucks,Luke Ridnour,back spasms (DNP),1.0,0.0,regular,2013.0,2,,back,torso,,,,,PG,32.0,61.0,14.0,18.7,82.0,1140.7,2476.4000000000005
2013-11-01,Milwaukee Bucks,Brandon Knight,strained right hamstring (DNP),1.0,0.0,regular,2013.0,2,,hamstring,upper leg,,,,,PG,22.0,72.0,69.0,33.3,75.0,2397.6,2362.5000000000005
2013-11-01,Charlotte Bobcats,Ben Gordon,right knee injury (DNP),1.0,0.0,regular,2013.0,2,,knee,knee,,,,,SG,30.0,19.0,0.0,14.7,75.0,279.3,1560.0
2013-11-01,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013.0,2,,hamstring,upper leg,,,,,Unknown,,,,,,,
2013-11-01,Utah Jazz,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),1.0,0.0,regular,2013.0,2,,heel,foot,,,,,PF,27.0,66.0,50.0,25.4,73.0,1676.4,1730.1
2013-11-02,Utah Jazz,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP),1.0,0.0,regular,2013.0,3,,ACL,knee,,,,,SG,28.0,38.0,0.0,11.0,2.0,418.0,25.0
2013-11-02,Utah Jazz,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),1.0,0.0,regular,2013.0,3,,heel,foot,,,,,PF,27.0,66.0,50.0,25.4,73.0,1676.4,1730.1
2013-11-03,Washington Wizards,Nene Nene,strained left calf (DNP),1.0,0.0,regular,2013.0,3,,calf,lower leg,,,,,Unknown,,,,,,,
2013-11-03,Phoenix Suns,Alex Len,left ankle injury (DNP),1.0,0.0,regular,2013.0,3,,ankle,lower leg,,,,,C,20.0,42.0,3.0,8.6,0.0,361.2,0.0
2013-11-03,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013.0,4,,ankle,lower leg,,,,,PF,21.0,61.0,36.0,30.3,55.0,1848.3,1298.0000000000002
2013-11-03,Atlanta Hawks,Gustavo Ayon,strained right rotator cuff (DNP),1.0,0.0,regular,2013.0,3,,shoulder,torso,,,,,C,28.0,26.0,14.0,16.5,58.0,429.0,738.4000000000001
2013-11-03,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013.0,4,,ankle,lower leg,,,,,SG,22.0,53.0,0.0,13.1,47.0,694.3,578.1000000000001
2013-11-03,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013.0,4,,knee,knee,,,,,PF,29.0,11.0,0.0,7.7,2.0,84.7,26.0
2013-11-04,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013.0,4,,hamstring,upper leg,,,,,Unknown,,,,,,,
