Date,Team,Relinquished,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category
2013-10-29,Milwaukee Bucks,Carlos Delfino,recovering from surgery on right foot (out indefinitely),0.0,0.0,off,2013,1,,foot,foot
2013-10-29,Cleveland Cavaliers,Carrick Felix,sports hernia (out indefinitely),0.0,0.0,off,2013,1,,other,other
2013-10-29,Boston Celtics,Rajon Rondo,recovering from surgery on left knee to repair torn ACL (out indefinitely),0.0,0.0,off,2013,1,,ACL,knee
2013-10-29,Atlanta Hawks,Louis Williams,recovering from surgery on right knee (out indefinitely),0.0,0.0,off,2013,1,,knee,knee
2013-10-29,Orlando Magic,Doron Lamb,sprained right ankle (DNP),0.0,0.0,off,2013,1,,ankle,lower leg
2013-10-29,Orlando Magic,Tobias Harris,sprained left ankle (DNP),0.0,0.0,off,2013,1,,ankle,lower leg
2013-10-29,Denver Nuggets,Danilo Gallinari,recovering from surgery on left knee to repair torn ACL (out indefinitely),0.0,0.0,off,2013,1,,ACL,knee
2013-10-29,Minnesota Timberwolves,Chase Budinger,recovering from surgery on left knee (out indefinitely),0.0,0.0,off,2013,1,,knee,knee
2013-10-29,Golden State Warriors,Festus Ezeli,recovering from surgery on right knee (out for season),0.0,0.0,off,2013,1,,knee,knee
2013-10-29,Golden State Warriors,Harrison Barnes,left foot injury (DNP),0.0,0.0,off,2013,1,,foot,foot
2013-10-30,Golden State Warriors,Harrison Barnes,left foot injury (DNP),0.0,0.0,off,2013,1,,foot,foot
2013-10-30,Houston Rockets,Terrence Jones,strained right shoulder (DNP),0.0,0.0,off,2013,1,,shoulder,torso
2013-10-30,Houston Rockets,Greg Smith,hip injury (DNP),0.0,0.0,off,2013,1,,hip,upper leg
2013-10-30,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,2,,ankle,lower leg
2013-10-30,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013,2,,ankle,lower leg
2013-10-30,Los Angeles Lakers,Steve Nash,rest (DNP),1.0,0.0,regular,2013,2,,rest,rest
2013-10-30,Utah Jazz,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),0.0,0.0,off,2013,1,,heel,foot
2013-10-30,Utah Jazz,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP),0.0,0.0,off,2013,1,,ACL,knee
2013-10-30,Atlanta Hawks,Gustavo Ayon,strained right rotator cuff (DNP),0.0,0.0,off,2013,1,,shoulder,torso
2013-10-30,Milwaukee Bucks,Luke Ridnour,sore back (DNP),0.0,0.0,off,2013,1,,back,torso
2013-10-30,Charlotte Bobcats,Ben Gordon,right knee injury (DNP),0.0,0.0,off,2013,1,,knee,knee
2013-10-30,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),0.0,0.0,off,2013,1,,hamstring,upper leg
2013-10-30,New York Knicks,Amare Stoudemire,knee injury (DNP),0.0,0.0,off,2013,1,,knee,knee
2013-10-31,Golden State Warriors,Harrison Barnes,left foot injury (DNP),1.0,0.0,regular,2013,2,,foot,foot
2013-11-01,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013,3,,knee,knee
2013-11-01,Golden State Warriors,Jermaine ONeal,right foot injury (DNP),1.0,0.0,regular,2013,3,,foot,foot
2013-11-01,Minnesota Timberwolves,Ronny Turiaf,fractured right elbow (out indefinitely),1.0,0.0,regular,2013,2,,elbow,arm
2013-11-01,Houston Rockets,Omri Casspi,sprained left ankle (DNP),1.0,0.0,regular,2013,2,,ankle,lower leg
2013-11-01,Indiana Pacers,George Hill,sore left hip (DNP),1.0,0.0,regular,2013,3,,hip,upper leg
2013-11-01,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,3,,ankle,lower leg
2013-11-01,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013,3,,ankle,lower leg
2013-11-01,Washington Wizards,Nene Nene,strained left calf (DNP),1.0,0.0,regular,2013,2,,calf,lower leg
2013-11-01,Utah Jazz,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP),1.0,0.0,regular,2013,2,,ACL,knee
2013-11-01,Atlanta Hawks,Gustavo Ayon,strained right rotator cuff (DNP),1.0,0.0,regular,2013,2,,shoulder,torso
2013-11-01,Milwaukee Bucks,Luke Ridnour,back spasms (DNP),1.0,0.0,regular,2013,2,,back,torso
2013-11-01,Milwaukee Bucks,Brandon Knight,strained right hamstring (DNP),1.0,0.0,regular,2013,2,,hamstring,upper leg
2013-11-01,Charlotte Bobcats,Ben Gordon,right knee injury (DNP),1.0,0.0,regular,2013,2,,knee,knee
2013-11-01,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013,2,,hamstring,upper leg
2013-11-01,Utah Jazz,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),1.0,0.0,regular,2013,2,,heel,foot
2013-11-02,Utah Jazz,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP),1.0,0.0,regular,2013,3,,ACL,knee
2013-11-02,Utah Jazz,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),1.0,0.0,regular,2013,3,,heel,foot
2013-11-03,Washington Wizards,Nene Nene,strained left calf (DNP),1.0,0.0,regular,2013,3,,calf,lower leg
2013-11-03,Phoenix Suns,Alex Len,left ankle injury (DNP),1.0,0.0,regular,2013,3,,ankle,lower leg
2013-11-03,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,4,,ankle,lower leg
2013-11-03,Atlanta Hawks,Gustavo Ayon,strained right rotator cuff (DNP),1.0,0.0,regular,2013,3,,shoulder,torso
2013-11-03,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013,4,,ankle,lower leg
2013-11-03,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013,4,,knee,knee
2013-11-04,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013,4,,hamstring,upper leg
