Date,Team,Acquired,Relinquished,Notes,Reg_games_missed,Post_games_missed,Season,Year,Game_number,Out_for_season,note_keyword,category
2013-10-29,Philadelphia 76ers,,Jason Richardson,placed on IL recovering from surgery on left knee (out for season),28.0,0.0,off,2013,1.0,False,knee,knee
2013-10-29,Phoenix Suns,,Emeka Okafor,placed on IL recovering from surgery on neck to repair herniated disc (out for season),81.0,0.0,off,2013,1.0,False,neck,head
2013-10-29,Indiana Pacers,,Danny Granger,placed on IL with strained left calf,56.0,0.0,off,2013,1.0,False,calf,lower leg
2013-10-29,Orlando Magic,,Hidayet Turkoglu,placed on IL,81.0,0.0,off,2013,1.0,False,roaster move,healthy inactive
2013-10-29,Orlando Magic,,Glen Davis,placed on IL recovering from surgery to repair fractured left foot,70.0,0.0,off,2013,1.0,False,foot,foot
2013-10-29,Los Angeles Lakers,,Kobe Bryant,placed on IL recovering from surgery to repair torn left Achilles tendon,62.0,0.0,off,2013,1.0,False,achilles,lower leg
2013-10-29,Washington Wizards,,Otto Porter,placed on IL with strained right hip flexor,63.0,0.0,off,2013,1.0,False,hip,upper leg
2013-10-29,Miami Heat,,Roger Mason,placed on IL,80.0,0.0,off,2013,1.0,False,roaster move,healthy inactive
2013-10-29,Miami Heat,,Greg Oden,placed on IL with surgery on knee,44.0,0.0,off,2013,1.0,False,knee,knee
2013-10-29,Los Angeles Clippers,,Maalik Wayns,placed on IL recovering from surgery on left knee to repair torn meniscus,48.0,0.0,off,2013,1.0,False,knee,knee
2013-10-29,Philadelphia 76ers,,Nerlens Noel,placed on IL recovering from surgery on left knee (out for season),58.0,0.0,off,2013,1.0,False,knee,knee
2013-10-29,Los Angeles Lakers,,Elias Harris,placed on IL,76.0,0.0,off,2013,1.0,False,roaster move,healthy inactive
2013-10-30,Utah Jazz,,Andris Biedrins,placed on IL with sprained left (CBC) / right ankle,65.0,0.0,off,2013,1.0,False,ankle,lower leg
2013-10-30,Utah Jazz,,Jeremy Evans,placed on IL with strained right rotator cuff,69.0,0.0,off,2013,1.0,False,shoulder,torso
2013-10-30,Utah Jazz,,Trey Burke,placed on IL recovering from surgery to repair fractured right index finger,69.0,0.0,off,2013,1.0,False,finger,hand
2013-10-30,Sacramento Kings,,Carl Landry,placed on IL recovering from surgery on left hip to repair torn hip flexor muscle,43.0,0.0,off,2013,1.0,False,hip,upper leg
2013-10-30,Sacramento Kings,,Ray McCallum,placed on IL,78.0,0.0,off,2013,1.0,False,roaster move,healthy inactive
2013-10-30,New York Knicks,,Toure Murry,placed on IL,80.0,0.0,off,2013,1.0,False,roaster move,healthy inactive
2013-10-30,Los Angeles Lakers,,Ryan Kelly,placed on IL,77.0,0.0,regular,2013,2.0,False,roaster move,healthy inactive
2013-10-30,Dallas Mavericks,,Brandan Wright,placed on IL with fractured left shoulder (surgery),58.0,0.0,off,2013,1.0,False,shoulder,torso
2013-10-30,Dallas Mavericks,,Devin Harris,placed on IL recovering from surgery on left foot/toe,40.0,0.0,off,2013,1.0,False,foot,foot
2013-10-30,New York Knicks,,Chris Smith,placed on IL,73.0,0.0,off,2013,1.0,False,roaster move,healthy inactive
